CO_ESCOLA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,TP_DEPENDENCIA_ADM_ESC,CO_UF_ESC,TP_LOCALIZACAO_ESC,QTD_ALUNOS,MEDIA_GERAL,STD_NOTAS,NOTA_MAX,NOTA_MIN,DIF_MT_LC,DIF_CN_CH,PCT_NU_NOTA_CN,PCT_NU_NOTA_CH,PCT_NU_NOTA_LC,PCT_NU_NOTA_MT,PCT_NU_NOTA_REDACAO,cluster
41127196.0,497.43888888888887,506.4472222222222,521.8,505.9861111111111,562.2222222222222,2.0,41.0,1.0,36,518.7788888888888,25.824267121770223,562.2222222222222,497.43888888888887,-15.813888888888869,-9.008333333333326,0.6995013488105943,0.5927409466197989,0.5541976620616366,0.55889806261751,0.29457205918417395,0
41127200.0,485.24285714285713,521.3571428571429,540.1964285714286,513.1892857142857,585.7142857142857,2.0,41.0,1.0,28,529.1400000000001,37.298966873721014,585.7142857142857,485.24285714285713,-27.007142857142867,-36.11428571428576,0.6131774707757705,0.6962315049456388,0.7311370882040382,0.6024687321180414,0.38265347829641133,0
41127242.0,597.9863636363636,609.5272727272727,590.75,698.0681818181819,887.2727272727273,4.0,41.0,1.0,22,676.7209090909091,125.3922693173126,887.2727272727273,590.75,107.31818181818187,-11.540909090909054,0.9727785498242459,0.9577372680454508,0.9567971879342761,0.9717975966647593,0.9914166598544919,1
41127340.0,484.3625,477.30625,521.38125,509.6125,482.5,2.0,41.0,1.0,16,495.0325000000001,19.31298411610051,521.38125,477.30625,-11.768750000000011,7.056250000000034,0.6052480994032535,0.35020027793672853,0.5499059919888826,0.5814599852857026,0.09016594457614649,0
41127420.0,456.3833333333333,477.80555555555554,504.4222222222222,490.87777777777774,584.4444444444445,2.0,41.0,1.0,18,502.7866666666667,48.963799395416295,584.4444444444445,456.3833333333333,-13.54444444444448,-21.422222222222217,0.29199705714052154,0.3544510749611706,0.37962887272132756,0.44911305485163083,0.3776669664023543,0
41127480.0,580.6692307692308,576.9846153846154,561.1384615384616,651.2538461538461,732.3076923076923,4.0,41.0,1.0,13,620.4707692307693,71.50284253877082,732.3076923076923,561.1384615384616,90.11538461538453,3.6846153846154266,0.9472737676775934,0.8944657892585629,0.8564538543284558,0.9265102591351263,0.7980053952423771,1
41127609.0,501.5,490.3611111111111,519.2666666666667,490.5444444444444,573.3333333333334,2.0,41.0,1.0,18,515.0011111111111,34.67124622529188,573.3333333333334,490.3611111111111,-28.72222222222223,11.138888888888914,0.72128668356086,0.4602305239924794,0.5293059756396632,0.4469876563394098,0.33458677348156624,0
41127650.0,480.5938775510204,496.37142857142857,519.795918367347,500.734693877551,560.8163265306123,2.0,41.0,1.0,49,511.6624489795919,30.825088280033977,560.8163265306123,480.5938775510204,-19.06122448979596,-15.777551020408168,0.5706695005313497,0.5118940570587754,0.5341289953404725,0.5253004169050928,0.28921768985530943,0
41127668.0,506.635294117647,494.6647058823529,526.070588235294,465.31176470588235,521.1764705882352,2.0,41.0,1.0,17,502.7717647058823,24.318055220115365,526.070588235294,465.31176470588235,-60.7588235294117,11.970588235294088,0.7481402763018066,0.4965257908934848,0.6002615875091964,0.220550968691245,0.166680291016104,0
41127722.0,592.1605633802817,609.6352112676057,590.1084507042253,672.9760563380282,782.2535211267606,4.0,41.0,1.0,71,649.4267605633802,81.5152811946351,782.2535211267606,590.1084507042253,82.8676056338029,-17.474647887323954,0.9657483855145916,0.9579007602386986,0.9547944085669909,0.9488269435134472,0.8794245074797679,1
41127781.0,573.15,602.2357142857143,576.2107142857143,604.625,708.5714285714286,4.0,41.0,1.0,28,612.9585714285714,55.36554409751867,708.5714285714286,573.15,28.41428571428571,-29.08571428571429,0.9346031227008911,0.9463745606147307,0.9137578680618,0.8653641788604595,0.7546390909834055,1
41127790.0,493.70416666666665,510.64166666666665,534.5458333333333,557.4916666666667,615.8333333333334,2.0,41.0,1.0,24,542.4433333333334,47.59665774111667,615.8333333333334,493.70416666666665,22.945833333333326,-16.9375,0.6759584729829151,0.6244584321098667,0.6826616529060737,0.7721736287092291,0.5054769884738004,0
41127820.0,488.5735294117647,495.52058823529416,522.635294117647,491.30882352941177,597.6470588235294,2.0,41.0,1.0,34,519.1370588235294,45.94109120086986,597.6470588235294,488.5735294117647,-31.32647058823528,-6.94705882352946,0.6409711436278918,0.5047821466524973,0.5645385432845582,0.4528733752963296,0.42941224556527424,0
41127897.0,499.55,509.5,531.1999999999999,524.4,565.0,2.0,41.0,1.0,12,525.9300000000001,25.111889614284298,565.0,499.55,-6.7999999999999545,-9.949999999999989,0.7110275484345623,0.6158750919643587,0.650862421319382,0.6582195700155318,0.3042998446824164,0
41128362.0,484.8642857142857,501.3857142857143,535.4404761904761,517.85,598.0952380952381,2.0,41.0,1.0,42,527.5271428571428,43.702453224052,598.0952380952381,484.8642857142857,-17.590476190476124,-16.5214285714286,0.6095806425243194,0.5525218670808469,0.6920624540178206,0.6265020845254639,0.43084280225619226,0
41128370.0,548.2038461538461,547.4692307692308,542.9769230769231,575.2961538461539,730.7692307692307,4.0,41.0,1.0,26,588.9430769230769,80.30185016880085,730.7692307692307,542.9769230769231,32.319230769230785,0.7346153846153811,0.8808141911223739,0.8163165208861277,0.7520640889397531,0.8135371536009156,0.7946538052807979,1
41128508.0,499.37,464.55,503.25,500.07,600.0,2.0,41.0,1.0,10,513.448,50.90045009624178,600.0,464.55,-3.180000000000007,34.81999999999999,0.7099648491784517,0.24609662388620943,0.36859314967710294,0.5203956511076596,0.43926265020845257,0
41128516.0,465.575,496.56666666666666,511.60833333333335,466.0,503.3333333333333,2.0,41.0,1.0,12,488.6166666666667,21.510645781669236,511.60833333333335,465.575,-45.60833333333335,-30.991666666666674,0.40807651434643993,0.5132019946047576,0.448295593885392,0.2263549415515409,0.1281778795062536,0
41128656.0,499.9391304347826,539.2652173913044,553.6478260869565,544.4565217391304,628.695652173913,2.0,41.0,1.0,23,553.2008695652173,46.92318416007406,628.695652173913,499.9391304347826,-9.191304347826076,-39.326086956521806,0.7125807242704161,0.7828006212703343,0.8163165208861277,0.7330172484263876,0.5522357557426633,0
41128699.0,567.7533333333333,560.7800000000001,568.1066666666667,621.8,797.3333333333334,4.0,41.0,1.0,15,623.1546666666666,100.41194167583411,797.3333333333334,560.7800000000001,53.69333333333327,6.973333333333244,0.9239761301397859,0.8551459167824736,0.8844110193738249,0.8900515000408731,0.9006784926019783,1
41128753.0,437.9789473684211,469.8052631578947,492.43157894736845,456.4263157894737,512.6315789473684,2.0,41.0,1.0,19,473.8547368421053,29.39371920209922,512.6315789473684,437.9789473684211,-36.005263157894774,-31.826315789473597,0.09270007357148696,0.28954467424180497,0.27131529469467836,0.1441183683479114,0.14665249734325186,0
41128885.0,503.19166666666666,500.64166666666665,544.525,511.27500000000003,648.3333333333334,2.0,41.0,1.0,12,541.5933333333334,62.19515779204825,648.3333333333334,500.64166666666665,-33.24999999999994,2.5500000000000114,0.7298291506580561,0.5468813864137987,0.7635902885637211,0.5924957083299273,0.6129731055342107,0
41129083.0,495.9531914893617,516.2787234042553,539.6659574468085,531.9425531914893,622.1276595744681,2.0,41.0,1.0,47,541.1936170212765,48.232984554183204,622.1276595744681,495.9531914893617,-7.723404255319224,-20.32553191489359,0.6912449930515818,0.6654132265184337,0.727049783372844,0.6916537235347012,0.5284067685768005,0
41129130.0,498.3675675675675,521.9648648648649,524.272972972973,510.33513513513515,691.3513513513514,2.0,41.0,1.0,37,549.2583783783783,80.10073785714657,691.3513513513514,498.3675675675675,-13.937837837837833,-23.597297297297416,0.7038338919316602,0.6996648410038421,0.5812964930924548,0.5859560206000164,0.7217362870922913,0
41129148.0,545.838888888889,585.6666666666666,568.8555555555555,630.5944444444444,840.0,4.0,41.0,1.0,18,634.191111111111,119.16344495774503,840.0,545.838888888889,61.73888888888894,-39.82777777777767,0.874274503392463,0.9149840595111584,0.8871086405624131,0.9019046840513365,0.954712662470367,1
41129172.0,503.87,473.95,517.1800000000001,515.0699999999999,590.0,2.0,41.0,1.0,10,520.0139999999999,42.75814460427394,590.0,473.95,-2.1100000000001273,29.920000000000016,0.7331807406196355,0.32461374969345214,0.506498814681599,0.6118695332297883,0.3994931742009319,0
41129261.0,485.0620689655172,510.37931034482756,534.696551724138,506.5206896551724,548.9655172413793,2.0,41.0,1.0,29,517.124827586207,25.042789587919884,548.9655172413793,485.0620689655172,-28.175862068965557,-25.31724137931036,0.6112973105534211,0.6226600179841413,0.6849505436115425,0.5615956838060983,0.2504700400555874,0
41129326.0,571.6851851851852,582.8518518518518,573.9296296296296,628.9888888888889,685.1851851851852,4.0,41.0,1.0,27,608.5281481481481,48.75622225423954,685.1851851851852,571.6851851851852,55.059259259259306,-11.166666666666629,0.931742009319055,0.9075451647183846,0.9068911959453936,0.8998610316357394,0.7085342924875337,1
41129393.0,541.3357142857143,543.2357142857143,546.45,616.4142857142857,764.2857142857143,4.0,41.0,1.0,14,602.3442857142857,95.86844028060922,764.2857142857143,541.3357142857143,69.96428571428567,-1.8999999999999773,0.8634840186381101,0.7984958718221205,0.7765061718302951,0.8804054606392545,0.8527752799803809,1
41129490.0,496.50333333333333,506.59666666666664,531.9066666666666,481.35333333333335,508.0,2.0,41.0,1.0,30,504.872,18.485090779087628,531.9066666666666,481.35333333333335,-50.553333333333285,-10.093333333333305,0.694678329109785,0.5945393607455244,0.6575656012425407,0.37022807160958066,0.1374969345213766,0
41129628.0,457.71999999999997,485.9,522.38,492.18,614.0,2.0,41.0,1.0,10,514.436,60.213027494056476,614.0,457.71999999999997,-30.19999999999999,-28.180000000000007,0.3070383389193166,0.4228316847870514,0.5612686994196027,0.46031227008910325,0.49840595111583424,0
41129725.0,480.87083333333334,491.9375,529.15,497.0708333333334,555.8333333333334,2.0,41.0,1.0,24,510.9725,30.84077565023833,555.8333333333334,480.87083333333334,-32.079166666666595,-11.066666666666663,0.5736941061064335,0.4725741845826862,0.6321425651925121,0.4972615057630998,0.27323632796533964,0
41129830.0,561.7076923076922,582.0923076923077,571.9846153846154,568.5923076923077,752.3076923076923,4.0,41.0,1.0,13,607.3369230769231,81.37378588701522,752.3076923076923,561.7076923076922,-3.392307692307668,-20.384615384615472,0.9119594539360746,0.9061554810757786,0.8992888089593722,0.798822856208616,0.8323796288727213,1
41129857.0,524.5531531531532,539.6423423423423,551.2927927927927,547.9045045045045,645.0450450450451,2.0,41.0,1.0,111,561.6875675675676,47.72695755691748,645.0450450450451,524.5531531531532,-3.3882882882882086,-15.089189189189142,0.817542712335486,0.7842720510095643,0.8042998446824164,0.7447886863402272,0.6018147633450502,0
41129970.0,476.2444444444444,512.9277777777778,542.5611111111111,516.9777777777778,615.5555555555555,2.0,41.0,1.0,18,532.8533333333334,51.93150739075983,615.5555555555555,476.2444444444444,-25.58333333333337,-36.683333333333394,0.5274258154173138,0.6421973350772501,0.7495299599444126,0.6224147796942696,0.5045777814109377,0
41130006.0,448.93888888888887,467.71111111111105,497.0833333333333,455.6166666666667,505.55555555555554,2.0,41.0,1.0,18,474.9811111111111,25.14625631759375,505.55555555555554,448.93888888888887,-41.46666666666664,-18.772222222222183,0.20003269843864954,0.2732772010136516,0.3095724679146571,0.1375786806180005,0.13308264530368674,0
41130057.0,491.34615384615387,515.5307692307692,536.0153846153846,510.8269230769231,553.0769230769231,2.0,41.0,1.0,26,521.3592307692309,23.8038867966393,553.0769230769231,491.34615384615387,-25.188461538461524,-24.18461538461537,0.6603449685277528,0.6596909997547618,0.6977846807814927,0.5892258644649718,0.2655113218343824,0
41130065.0,487.22857142857146,505.35999999999996,523.202857142857,507.6485714285715,591.4285714285714,2.0,41.0,1.0,35,522.9737142857143,40.33899523199023,591.4285714285714,487.22857142857146,-15.554285714285584,-18.1314285714285,0.6310798659364015,0.5847298291506581,0.5709964849178452,0.5691163246954958,0.4053788931578517,0
41130090.0,558.5,571.98,577.1885714285714,635.78,741.7142857142857,4.0,41.0,1.0,35,617.0325714285714,75.73033804498802,741.7142857142857,558.5,58.59142857142854,-13.480000000000018,0.9055015123027875,0.882122128668356,0.9175181885064988,0.9083626256846236,0.8133327883593559,1
41130138.0,485.52,498.56000000000006,518.89,486.35,644.0,2.0,41.0,1.0,10,526.664,66.96277719748487,644.0,485.52,-32.539999999999964,-13.040000000000077,0.6153028692879915,0.5293877217362871,0.5247281942287256,0.41183683479113875,0.5983814272868471,0
41130170.0,473.03333333333336,503.1,530.6809523809524,475.9428571428571,567.6190476190476,2.0,41.0,1.0,21,510.0752380952381,39.75443862039401,567.6190476190476,473.03333333333336,-54.73809523809524,-30.066666666666663,0.49366467751164883,0.5654786233957328,0.6459576555219488,0.32052644486225784,0.31496771029183357,0
41130189.0,478.6769230769231,509.70000000000005,518.8230769230769,524.3461538461538,612.3076923076923,2.0,41.0,1.0,13,528.7707692307692,49.9250412675055,612.3076923076923,478.6769230769231,5.523076923076928,-31.02307692307693,0.552440120984223,0.6176326330417723,0.5240742254557345,0.6578925856290362,0.49027221450175756,0
