CO_ESCOLA,TP_DEPENDENCIA_ADM_ESC,QTD_ALUNOS,MEDIA_GERAL,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,cluster
11033797.0,2.0,137,501.04802919708027,461.85547445255474,479.12773722627736,496.96715328467155,482.4722627737226,584.8175182481751,0
11033835.0,2.0,81,511.597037037037,468.1197530864198,487.43580246913587,504.25925925925924,484.34320987654314,613.8271604938271,0
11034998.0,2.0,80,523.5085,470.375,480.8325000000001,500.15,471.18500000000006,695.0,1
11035080.0,2.0,11,461.3454545454546,440.77272727272725,448.39090909090913,473.94545454545454,425.43636363636364,518.1818181818181,0
11035960.0,2.0,45,504.644888888889,464.71111111111117,486.3511111111111,498.0555555555557,469.2177777777778,604.8888888888889,0
11036486.0,2.0,28,481.3364285714286,485.175,476.7428571428572,488.0357142857143,486.0142857142857,470.7142857142857,0
11037016.0,1.0,118,547.9898305084746,508.33983050847456,506.17033898305095,526.3686440677966,512.7991525423729,686.271186440678,1
11037474.0,4.0,39,571.885641025641,532.8435897435896,546.3564102564102,544.1205128205127,574.5692307692308,661.5384615384615,1
11037601.0,2.0,12,452.3933333333333,473.55,443.925,480.75833333333344,442.06666666666666,421.6666666666667,0
11037660.0,4.0,23,624.664347826087,547.9217391304347,569.0826086956522,565.5260869565218,644.2695652173913,796.5217391304348,1
11038063.0,2.0,56,449.39392857142855,435.7642857142857,432.0767857142858,466.0142857142858,451.3285714285715,461.7857142857143,0
11039582.0,2.0,20,542.6600000000001,491.37,496.98000000000013,503.64000000000004,476.30999999999995,745.0,1
11040076.0,4.0,14,546.2114285714285,487.85,490.49285714285713,524.4928571428571,572.5071428571429,655.7142857142857,1
11040629.0,2.0,27,495.2281481481482,478.41481481481486,470.85555555555555,494.062962962963,466.1407407407408,566.6666666666666,0
11040793.0,2.0,505,527.220910891089,485.4221782178218,485.8994059405941,501.3839603960396,492.7455445544554,670.6534653465346,1
11041951.0,4.0,26,646.3946153846153,569.8153846153846,589.126923076923,568.2153846153847,677.123076923077,827.6923076923077,1
11042028.0,2.0,40,488.0295,447.4225,452.95,471.80499999999995,459.4700000000001,608.5,0
11043857.0,4.0,35,644.4554285714285,573.5914285714285,598.2857142857142,569.4742857142857,647.7828571428572,833.1428571428571,1
11045639.0,4.0,10,633.8699999999999,564.66,613.3699999999999,606.5400000000001,610.78,774.0,1
11045914.0,2.0,37,479.02918918918914,452.6432432432432,466.072972972973,484.2540540540541,457.0405405405405,535.1351351351351,0
11046740.0,2.0,49,537.2502040816327,488.8775510204082,505.95306122448983,511.66734693877544,527.5081632653062,652.2448979591836,1
11047208.0,2.0,37,539.9572972972974,508.98378378378385,497.5027027027028,512.4378378378378,526.8081081081082,654.0540540540541,1
11047216.0,2.0,23,471.09391304347827,447.3173913043478,438.13043478260863,461.5173913043479,458.06956521739124,550.4347826086956,0
11048018.0,2.0,86,496.0711627906977,460.49069767441864,474.3499999999999,500.1348837209303,470.72906976744184,574.6511627906976,0
11048247.0,2.0,42,454.34,455.64285714285717,431.7595238095238,462.45714285714286,471.36428571428576,450.4761904761905,0
11048450.0,4.0,75,535.7237333333333,493.13199999999995,493.3693333333333,509.84666666666647,518.804,663.4666666666667,1
11048557.0,4.0,10,599.556,525.86,554.8000000000001,539.2900000000001,543.8299999999999,834.0,1
11048956.0,2.0,53,515.9581132075472,468.1584905660377,467.25660377358486,489.00377358490573,476.5037735849057,678.8679245283018,0
11049014.0,4.0,12,503.7916666666667,464.7250000000001,486.7250000000001,511.1833333333334,457.9916666666666,598.3333333333334,0
11049073.0,4.0,27,624.9125925925925,565.2481481481482,569.9037037037037,565.9518518518519,594.5703703703704,828.8888888888889,1
11049430.0,2.0,50,491.50679999999994,470.2439999999999,462.256,474.29,461.944,588.8,0
11049634.0,2.0,103,553.2963106796117,491.91067961165044,510.2252427184465,521.4223300970873,547.9718446601943,694.9514563106796,1
11049855.0,2.0,18,475.39000000000004,442.57222222222225,462.40000000000003,474.8277777777778,456.03888888888895,541.1111111111111,0
11049936.0,2.0,71,492.0157746478873,450.0253521126761,467.5267605633802,488.4492957746478,452.38732394366195,601.6901408450705,0
11049960.0,1.0,84,545.732619047619,497.4369047619047,496.5738095238095,524.395238095238,509.06666666666666,701.1904761904761,1
11050233.0,2.0,13,500.8384615384615,450.87692307692305,485.7846153846154,492.95384615384614,466.88461538461536,607.6923076923077,0
11050322.0,1.0,78,570.4371794871794,511.7217948717949,515.8794871794871,536.7679487179487,554.226923076923,733.5897435897435,1
11050349.0,2.0,18,490.7488888888889,449.95000000000005,464.1166666666667,486.28333333333336,456.7277777777778,596.6666666666666,0
11050373.0,4.0,15,571.1706666666666,492.79333333333335,532.4000000000001,548.5933333333334,567.4,714.6666666666666,1
